paper_id,title,summary,authors,categories,primary_category,published,updated,abs_url,pdf_url,comment,published_date,age_days,authors_joined,categories_joined,summary_chars,text_for_embedding
10.28932/jutisi.v12i2.13099,Transformasi Layanan Informasi Berbasis Chatbot Retrieval-Augmented Generation dan Large Language Model,,"['Muhamad Komarudin', 'Chelly Sabrina', 'Yessy Mulyani', 'Puput Budi Wintoro']",[],,2025-08-27,2026-09-02,https://doi.org/10.28932/jutisi.v12i2.13099,https://doi.org/10.28932/jutisi.v12i2.13099,,2025-08-27,394,Muhamad Komarudin; Chelly Sabrina; Yessy Mulyani; Puput Budi Wintoro,,0,"Title: Transformasi Layanan Informasi Berbasis Chatbot Retrieval-Augmented Generation dan Large Language Model
Authors: Muhamad Komarudin; Chelly Sabrina; Yessy Mulyani; Puput Budi Wintoro
Published: 2025-08-27
Categories: 
Summary: "
10.21203/rs.3.rs-10423755/v1,Evidence Constrained Agentic Retrieval Augmented Generation for Substation Civil Engineering Preliminary Design Documents in a Single Project Study,UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE ,"['Yizhang Huang', 'Xinhui Zhang']",[],,2026-08-26,2026-08-26,https://doi.org/10.21203/rs.3.rs-10423755/v1,https://doi.org/10.21203/rs.3.rs-10423755/v1,,2026-08-26T00:00:00.000,30,Yizhang Huang; Xinhui Zhang,,192,"Title: Evidence Constrained Agentic Retrieval Augmented Generation for Substation Civil Engineering Preliminary Design Documents in a Single Project Study
Authors: Yizhang Huang; Xinhui Zhang
Published: 2026-08-26
Categories: 
Summary: UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE "
10.20944/preprints202608.1849.v1,An Agen,"Selecting an encoding configuration for Hyperdimensional Computing (HDC) determines whether a model fits the memory budget of an Internet of Things (IoT) device, yet the knowledge needed to make that choice is dispersed across thousands of papers in a form no optimizer can query. The configuration space is large and each evaluation is expensive, so exhaustive search is infeasible; sequential optimizers are the standard remedy, but they begin from an uninformed prior and spend early evaluations exploring blindly. We present an agentic Retrieval-Augmented Generation (RAG) recommendation system that converts the HDC literature into an informed starting point for this search. A corpus of 1,518 HDC papers is indexed multimodally. A vision-language model (VLM) describes 1,755 figure regions extracted from source PDFs, making plotted evidence such as accuracy against dimension curves retrievable alongside prose and tables. Given a task profile stating the dataset characteristics, target hardware, objectives, and memory budget, the agent retrieves evidence under an allocation that reserves context for figures, and returns an encoding configuration with supporting citations. That configuration seeds the first trial of a constrained multi-objective search over accuracy and inference memory, which then refines it, and feasibility is enforced by external measurement rather than by the model. On network intrusion detection (CICIDS2017) and bearing fault diagnosis (CWRU), the literature-grounded start raised the hypervolume of the recovered Pareto front by 17.4% and 19.1% over an identically budgeted search from a random draw, at no additional evaluation cost. A natural extension is to let the system perform the data preprocessing that the practitioner now supplies, so that a deployment can be described end to end from raw sensor streams.","['Fardin Jalil Piran', 'Rajiv Malhotra', 'Farhad Imani']",[],,2025-08-26,2026-08-27,https://doi.org/10.20944/preprints202608.1849.v1,https://doi.org/10.20944/preprints202608.1849.v1,,2025-08-26,395,Fardin Jalil Piran; Rajiv Malhotra; Farhad Imani,,1856,"Title: An Agen
Authors: Fardin Jalil Piran; Rajiv Malhotra; Farhad Imani
Published: 2025-08-26
Categories: 
Summary: Selecting an encoding configuration for Hyperdimensional Computing (HDC) determines whether a model fits the memory budget of an Internet of Things (IoT) device, yet the knowledge needed to make that choice is dispersed across thousands of papers in a form no optimizer can query. The configuration space is large and each evaluation is expensive, so exhaustive search is infeasible; sequential optimizers are the standard remedy, but they begin from an uninformed prior and spend early evaluations exploring blindly. We present an agentic Retrieval-Augmented Generation (RAG) recommendation system that converts the HDC literature into an informed starting point for this search. A corpus of 1,518 HDC papers is indexed multimodally. A vision-language model (VLM) describes 1,755 figure regions extracted from source PDFs, making plotted evidence such as accuracy against dimension curves retrievable alongside prose and tables. Given a task profile stating the dataset characteristics, target hardware, objectives, and memory budget, the agent retrieves evidence under an allocation that reserves context for figures, and returns an encoding configuration with supporting citations. That configuration seeds the first trial of a constrained multi-objective search over accuracy and inference memory, which then refines it, and feasibility is enforced by external measurement rather than by the model. On network intrusion detection (CICIDS2017) and bearing fault diagnosis (CWRU), the literature-grounded start raised the hypervolume of the recovered Pareto front by 17.4% and 19.1% over an identically budgeted search from a random draw, at no additional evaluation cost. A natural extension is to let the system perform the data preprocessing that the practitioner now supplies, so that a deployment can be described end to end from raw sensor streams."
10.3390/knowledge6030022,Integrating Retrieval-Augmented Generation with Large Language Model for Robust and Explainable AI Text Detection,,"['Ibtasam Ur Rehman', 'Muhammad Islam', 'Muhammad Yousaf Rehman', 'Basharat Hussain']",[],,2026-08-25,2026-08-25,https://doi.org/10.3390/knowledge6030022,https://doi.org/10.3390/knowledge6030022,,2026-08-25T00:00:00.000,31,Ibtasam Ur Rehman; Muhammad Islam; Muhammad Yousaf Rehman; Basharat Hussain,,0,"Title: Integrating Retrieval-Augmented Generation with Large Language Model for Robust and Explainable AI Text Detection
Authors: Ibtasam Ur Rehman; Muhammad Islam; Muhammad Yousaf Rehman; Basharat Hussain
Published: 2026-08-25
Categories: 
Summary: "
10.36948/ijfmr.2026.v08i04.85777,A Framework for Adaptive Knowledge-Augmented Mizo Large Language Models Using Retrieval-Augmented Generation and Continual Learning,UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE ,"['Vanlalropuia Ralte', 'Abhisake Sinha -']",[],,2025-08-14,2026-08-15,https://doi.org/10.36948/ijfmr.2026.v08i04.85777,https://doi.org/10.36948/ijfmr.2026.v08i04.85777,,2025-08-14,407,Vanlalropuia Ralte; Abhisake Sinha -,,192,"Title: A Framework for Adaptive Knowledge-Augmented Mizo Large Language Models Using Retrieval-Augmented Generation and Continual Learning
Authors: Vanlalropuia Ralte; Abhisake Sinha -
Published: 2025-08-14
Categories: 
Summary: UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE "
10.2118/234689-pa,SafeRAG,"Summary In high-risk industrial settings, leveraging large language models (LLMs) for automated accident analysis and generating safety reports has emerged as an efficient workflow. However, this approach is fundamentally constrained by the models’ inherent knowledge limitations, frequently resulting in analyses that lack domain-specific understanding and regulatory alignment. To tackle this issue, we introduce SafeRAG, a multistage retrieval-augmented framework for safety report generation. Specifically, the framework uses an entity-centric approach that prompts the LLMs to internally generate domain-specific knowledge. Concurrently, it performs a hierarchical retrieval of external regulations relevant to the accident at topic, concept, and context levels. To obtain well-structured reports, we leverage prompt engineering, integrating internal and external knowledge. Furthermore, a domain-expert persona is also assigned to help LLMs analyze accidents from a specific perspective. To evaluate our approach, we construct a data set from 10,818 accident-description/report pairs collected from real-world industry reports. Experiments show that SafeRAG substantially outperforms baseline LLMs on metrics that include bidirectional encoder representations from transformers (BERTScore) and bidirectional auto-regressive transformers (BARTScore), demonstrating the effectiveness of our approach.","['Qianwen Cao', 'Chiyu Zhang', 'Junxiong Ning', 'Gongru Li']",[],,2026-08-01,2026-08-05,https://doi.org/10.2118/234689-pa,https://doi.org/10.2118/234689-pa,,2026-08-01T00:00:00.000,55,Qianwen Cao; Chiyu Zhang; Junxiong Ning; Gongru Li,,1404,"Title: SafeRAG
Authors: Qianwen Cao; Chiyu Zhang; Junxiong Ning; Gongru Li
Published: 2026-08-01
Categories: 
Summary: Summary In high-risk industrial settings, leveraging large language models (LLMs) for automated accident analysis and generating safety reports has emerged as an efficient workflow. However, this approach is fundamentally constrained by the models’ inherent knowledge limitations, frequently resulting in analyses that lack domain-specific understanding and regulatory alignment. To tackle this issue, we introduce SafeRAG, a multistage retrieval-augmented framework for safety report generation. Specifically, the framework uses an entity-centric approach that prompts the LLMs to internally generate domain-specific knowledge. Concurrently, it performs a hierarchical retrieval of external regulations relevant to the accident at topic, concept, and context levels. To obtain well-structured reports, we leverage prompt engineering, integrating internal and external knowledge. Furthermore, a domain-expert persona is also assigned to help LLMs analyze accidents from a specific perspective. To evaluate our approach, we construct a data set from 10,818 accident-description/report pairs collected from real-world industry reports. Experiments show that SafeRAG substantially outperforms baseline LLMs on metrics that include bidirectional encoder representations from transformers (BERTScore) and bidirectional auto-regressive transformers (BARTScore), demonstrating the effectiveness of our approach."
10.1007/s10278-026-02086-9,JADE-Plus: A Multimodal Agentic Retrieval-Augmented Generation Large Language Framework for Diagnostic Support in Jawbone Lesions: Development and Technical Validation Study,,"['Soroush Baseri Saadi', 'Jonas Ver Berne', 'Rocharles Cavalcante Fontenele', 'Peter Claes', 'Reinhilde Jacobs']",[],,2025-07-13,2026-07-13,https://doi.org/10.1007/s10278-026-02086-9,https://doi.org/10.1007/s10278-026-02086-9,,2025-07-13,439,Soroush Baseri Saadi; Jonas Ver Berne; Rocharles Cavalcante Fontenele; Peter Claes; Reinhilde Jacobs,,0,"Title: JADE-Plus: A Multimodal Agentic Retrieval-Augmented Generation Large Language Framework for Diagnostic Support in Jawbone Lesions: Development and Technical Validation Study
Authors: Soroush Baseri Saadi; Jonas Ver Berne; Rocharles Cavalcante Fontenele; Peter Claes; Reinhilde Jacobs
Published: 2025-07-13
Categories: 
Summary: "
10.21203/rs.3.rs-10178277/v1,Retrieval-Augmented Large-Language-Model-Based Time-Series Forecasting for Cross-Market Equity Analysis,UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE ,"['Novanto Yudistira', 'Yanuar Putra Kharisma Adhiyasa']",[],,2026-07-10,2026-07-10,https://doi.org/10.21203/rs.3.rs-10178277/v1,https://doi.org/10.21203/rs.3.rs-10178277/v1,,2026-07-10T00:00:00.000,77,Novanto Yudistira; Yanuar Putra Kharisma Adhiyasa,,192,"Title: Retrieval-Augmented Large-Language-Model-Based Time-Series Forecasting for Cross-Market Equity Analysis
Authors: Novanto Yudistira; Yanuar Putra Kharisma Adhiyasa
Published: 2026-07-10
Categories: 
Summary: UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE "
10.2196/preprints.106157,Does re,"BACKGROUND There is evidence of rapid adoption of large language models (LLMs) in undergraduate medical education, with medical students using it to support their learning. This raises concerns particularly around the accuracy of LLM-generated information students are learning. Retrieval-augmented generation (RAG), which grounds a LLM in curated materials, may be a strategy to improve their accuracy. OBJECTIVE This study investigates if grounding LLM outputs in verifiable sources using RAG impacts trust and perceived usability amongst medical students. METHODS In a four-month qualitative study, second-year medical students at Bristol Medical School used a RAG-enabled LLM (NotebookLM) to help them learn course content. Following this, their perspectives were explored using a focus group and survey was. Qualitative data was analysed using thematic analysis and was supplemented by Likert scale data. RESULTS RAG-based LLMs were perceived as more reliable than standard LLM responses mainly due to the transparency of and control over information sources. The system functioned as an accessible, on-demand learning resource, improving efficiency and supporting self-directed study. Students continued to use strategies to cross check generated information. They demonstrated some awareness of ethical concerns, mostly around the environmental impact of LLMs and data privacy. CONCLUSIONS These findings suggest that RAG may enhance students’ trust in LLM outputs while maintaining their benefit as a flexible ‘study partner’. It highlights RAG as a strategy that educators can use to support students who use LLMs in the context of increasing. However, the impact of RAG-based LLMs over a longer period and on learning outcomes requires further evaluation.","['Rohin Athavale', 'Alexander Cresswell', 'Alice Huffman']",[],,2025-07-03,2026-07-06,https://doi.org/10.2196/preprints.106157,https://doi.org/10.2196/preprints.106157,,2025-07-03,449,Rohin Athavale; Alexander Cresswell; Alice Huffman,,1765,"Title: Does re
Authors: Rohin Athavale; Alexander Cresswell; Alice Huffman
Published: 2025-07-03
Categories: 
Summary: BACKGROUND There is evidence of rapid adoption of large language models (LLMs) in undergraduate medical education, with medical students using it to support their learning. This raises concerns particularly around the accuracy of LLM-generated information students are learning. Retrieval-augmented generation (RAG), which grounds a LLM in curated materials, may be a strategy to improve their accuracy. OBJECTIVE This study investigates if grounding LLM outputs in verifiable sources using RAG impacts trust and perceived usability amongst medical students. METHODS In a four-month qualitative study, second-year medical students at Bristol Medical School used a RAG-enabled LLM (NotebookLM) to help them learn course content. Following this, their perspectives were explored using a focus group and survey was. Qualitative data was analysed using thematic analysis and was supplemented by Likert scale data. RESULTS RAG-based LLMs were perceived as more reliable than standard LLM responses mainly due to the transparency of and control over information sources. The system functioned as an accessible, on-demand learning resource, improving efficiency and supporting self-directed study. Students continued to use strategies to cross check generated information. They demonstrated some awareness of ethical concerns, mostly around the environmental impact of LLMs and data privacy. CONCLUSIONS These findings suggest that RAG may enhance students’ trust in LLM outputs while maintaining their benefit as a flexible ‘study partner’. It highlights RAG as a strategy that educators can use to support students who use LLMs in the context of increasing. However, the impact of RAG-based LLMs over a longer period and on learning outcomes requires further evaluation."
10.3390/buildings16132637,"An Agentic AI System for Roof Design Compliance Using Computer Vision, Retrieval-Augmented Generation and Large Language Models",,"['Nawari O. Nawari', 'Oluwatoyin O. Lawal']",[],,2026-07-02,2026-07-02,https://doi.org/10.3390/buildings16132637,https://doi.org/10.3390/buildings16132637,,2026-07-02T00:00:00.000,85,Nawari O. Nawari; Oluwatoyin O. Lawal,,0,"Title: An Agentic AI System for Roof Design Compliance Using Computer Vision, Retrieval-Augmented Generation and Large Language Models
Authors: Nawari O. Nawari; Oluwatoyin O. Lawal
Published: 2026-07-02
Categories: 
Summary: "
